open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,month,year,day,day_of_week,quarter,date,per_change,movement
557.18,560.42,556.37,559.44,6742815.0,560.43,556.37,559.44,557.18,6770036.0,1.0,0.0,VOO,ARCX,6,2025,24,1,2,2025-06-24,0.4056139847087305,1
548.66,553.7,545.75,553.36,9719000.0,553.7,545.75,553.36,548.66,9820188.0,1.0,0.0,VOO,ARCX,6,2025,23,0,2,2025-06-23,0.8566325228739193,1
551.72,552.72,546.62,547.72,9978477.0,552.72,546.62,547.72,551.72,9978477.0,1.0,0.0,VOO,ARCX,6,2025,20,4,2,2025-06-20,-0.7250054375407815,0
550.16,552.71,548.39,549.24,4585400.0,552.71,548.39,549.24,550.16,4602329.0,1.0,0.0,VOO,ARCX,6,2025,18,2,2,2025-06-18,-0.16722408026755112,0
551.79,553.16,548.64,549.35,4731700.0,553.16,548.635,549.35,551.79,4753344.0,1.0,0.0,VOO,ARCX,6,2025,17,1,2,2025-06-17,-0.44219721270772233,0
551.94,555.66,551.9,554.07,5714431.0,555.69,551.87,554.07,551.94,7421327.0,1.0,0.0,VOO,ARCX,6,2025,16,0,2,2025-06-16,0.3859115121208818,1
550.24,553.25,547.41,548.77,7091900.0,553.245,547.41,548.77,550.24,7100626.0,1.0,0.0,VOO,ARCX,6,2025,13,4,2,2025-06-13,-0.26715615004362225,0
551.6,555.0,551.132,554.95,8382626.0,555.0,551.1322,554.95,551.6,8422943.0,1.0,0.0,VOO,ARCX,6,2025,12,3,2,2025-06-12,0.6073241479332891,1
555.41,556.225,550.912,552.86,20777515.0,556.225,550.91,552.86,555.41,20800557.0,1.0,0.0,VOO,ARCX,6,2025,11,2,2,2025-06-11,-0.459120289515845,0
551.78,554.74,550.75,554.39,5243960.0,554.74,550.74,554.39,551.78,5984087.0,1.0,0.0,VOO,ARCX,6,2025,10,1,2,2025-06-10,0.4730146072710163,1
551.3,552.7,550.2,551.25,4504831.0,552.7,550.2,551.25,551.3,4516381.0,1.0,0.0,VOO,ARCX,6,2025,9,0,2,2025-06-09,-0.00906947215671223,0
550.3,552.32,548.7,550.66,4728500.0,552.32,548.6999,550.66,550.3,4735972.0,1.0,0.0,VOO,ARCX,6,2025,6,4,2,2025-06-06,0.0654188624386723,0
549.48,550.62,543.3375,545.09,6149945.0,550.63,543.3375,545.09,549.48,6387510.0,1.0,0.0,VOO,ARCX,6,2025,5,3,2,2025-06-05,-0.798937176967312,0
548.75,549.6477,547.4426,547.65,4399173.0,549.65,547.4426,547.65,548.75,4543355.0,1.0,0.0,VOO,ARCX,6,2025,4,2,2,2025-06-04,-0.20045558086560777,0
544.53,548.865,544.09,548.0,4979779.0,548.87,544.09,548.0,544.53,4993615.0,1.0,0.0,VOO,ARCX,6,2025,3,1,2,2025-06-03,0.6372467999926592,1
540.25,544.91,537.851,544.91,5756307.0,544.91,537.8,544.91,540.25,5933526.0,1.0,0.0,VOO,ARCX,6,2025,2,0,2,2025-06-02,0.8625636279500172,1
541.35,543.39,536.16,541.76,6166200.0,543.39,536.16,541.76,541.35,6171491.0,1.0,0.0,VOO,ARCX,5,2025,30,4,2,2025-05-30,0.07573658446475813,0
545.15,545.28,538.74,542.32,4659500.0,545.28,538.74,542.32,545.15,4668939.0,1.0,0.0,VOO,ARCX,5,2025,29,3,2,2025-05-29,-0.5191231771072048,0
543.79,544.88,539.62,540.24,4841551.0,544.9,539.61,540.24,543.79,4910507.0,1.0,0.0,VOO,ARCX,5,2025,28,2,2,2025-05-28,-0.652825539270666,0
538.72,543.52,537.19,543.34,6097598.0,543.52,537.18,543.34,538.72,6118091.0,1.0,0.0,VOO,ARCX,5,2025,27,1,2,2025-05-27,0.8575883575883583,1
529.43,534.8099,529.11,532.4,6455875.0,534.8099,529.11,532.4,529.43,6455875.0,1.0,0.0,VOO,ARCX,5,2025,23,4,2,2025-05-23,0.5609806773322303,1
535.6,539.23,534.44,536.02,5804400.0,539.225,534.44,536.02,535.6,5816572.0,1.0,0.0,VOO,ARCX,5,2025,22,3,2,2025-05-22,0.07841672890215814,0
540.91,544.69,534.82,535.77,6314200.0,544.6905,534.82,535.77,540.91,6339491.0,1.0,0.0,VOO,ARCX,5,2025,21,2,2,2025-05-21,-0.9502505037806634,0
545.22,546.06,541.99,544.88,7147600.0,546.06,541.99,544.88,545.22,7158205.0,1.0,0.0,VOO,ARCX,5,2025,20,1,2,2025-05-20,-0.062360148197063904,0
540.63,547.45,540.585,546.82,6341383.0,547.45,540.58,546.82,540.63,7766058.0,1.0,0.0,VOO,ARCX,5,2025,19,0,2,2025-05-19,1.1449605090357646,1
543.47,546.47,541.7,546.26,7201100.0,546.47,541.7,546.26,543.47,7255342.0,1.0,0.0,VOO,ARCX,5,2025,16,4,2,2025-05-16,0.5133678031906018,1
538.26,543.25,537.84,542.76,7354600.0,543.2489,537.84,542.76,538.26,7362193.0,1.0,0.0,VOO,ARCX,5,2025,15,3,2,2025-05-15,0.8360271987515328,1
540.37,541.42,538.24,540.11,5011400.0,541.42,538.24,540.11,540.37,5031301.0,1.0,0.0,VOO,ARCX,5,2025,14,2,2,2025-05-14,-0.0481151803393954,0
536.33,541.48,535.78,539.44,7346800.0,541.48,535.78,539.44,536.33,7356804.0,1.0,0.0,VOO,ARCX,5,2025,13,1,2,2025-05-13,0.5798668730072928,1
534.5,535.92,530.39,535.92,7718886.0,535.92,530.39,535.92,534.5,7793576.0,1.0,0.0,VOO,ARCX,5,2025,12,0,2,2025-05-12,0.2656688493919474,1
520.69,521.63,517.36,518.65,4725100.0,521.6306,517.36,518.65,520.69,4739506.0,1.0,0.0,VOO,ARCX,5,2025,9,4,2,2025-05-09,-0.391787820008081,0
519.54,524.2074,516.345,519.34,5065890.0,524.23,516.345,519.34,519.54,5088200.0,1.0,0.0,VOO,ARCX,5,2025,8,3,2,2025-05-08,-0.03849559225467371,0
514.92,518.08,511.1,515.9,5448379.0,518.18,511.1,515.9,514.92,5467344.0,1.0,0.0,VOO,ARCX,5,2025,7,2,2,2025-05-07,0.1903208265361645,0
512.89,517.825,511.94,513.58,4588373.0,517.825,511.94,513.58,512.89,4694270.0,1.0,0.0,VOO,ARCX,5,2025,6,1,2,2025-05-06,0.1345317709450476,0
517.08,520.84,516.4478,517.99,4745581.0,520.85,516.27,517.99,517.08,4793497.0,1.0,0.0,VOO,ARCX,5,2025,5,0,2,2025-05-05,0.17598824166472657,0
