open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,month,year,day,day_of_week,quarter,date,per_change,movement
510.14,521.46,509.9298,518.91,4681282.0,521.49,509.9298,518.91,510.14,6308643.0,1.0,0.0,VOO,ARCX,4,2025,2,2,2,2025-04-02,1.7191359234719843,1
512.36,517.35,508.88,515.8,7697017.0,517.35,508.88,515.8,512.36,7697017.0,1.0,0.0,VOO,ARCX,4,2025,1,1,2,2025-04-01,0.6714029198219885,1
505.31,515.33,502.64,513.91,8196668.0,515.33,502.64,513.91,505.31,8196668.0,1.0,0.0,VOO,ARCX,3,2025,31,0,1,2025-03-31,1.7019255506520683,1
519.76,520.46,510.16,510.8,5831793.0,520.46,510.16,510.8,519.76,5831793.0,1.0,0.0,VOO,ARCX,3,2025,28,4,1,2025-03-28,-1.7238725565645645,0
521.29,524.678,519.23,521.21,5534928.0,524.678,519.23,521.21,521.29,5534928.0,1.0,1.812,VOO,ARCX,3,2025,27,3,1,2025-03-27,-0.015346544150075244,0
530.56,531.41,522.6479,522.6479,4429626.0,531.41,523.1,520.8358,530.56,4429626.0,1.0,0.0,VOO,ARCX,3,2025,26,2,1,2025-03-26,-1.4912733715319468,0
530.59,531.6,529.11,530.65,6247200.0,531.6,529.11,530.65,530.59,6260199.0,1.0,0.0,VOO,ARCX,3,2025,25,1,1,2025-03-25,0.011308166380811065,0
526.48,530.36,525.88,529.39,8307735.0,530.39,525.88,529.39,526.48,22376267.0,1.0,0.0,VOO,ARCX,3,2025,24,0,1,2025-03-24,0.5527275490047044,1
515.79,520.95,514.66,520.26,5053000.0,520.95,514.655,520.26,515.79,5059011.0,1.0,0.0,VOO,ARCX,3,2025,21,4,1,2025-03-21,0.8666317687430986,1
517.96,524.615,517.33,520.13,4381289.0,524.615,517.32,520.13,517.96,6029737.0,1.0,0.0,VOO,ARCX,3,2025,20,3,1,2025-03-20,0.4189512703683603,1
517.54,524.96,516.42,521.33,5361100.0,524.96,516.4191,521.33,517.54,5373949.0,1.0,0.0,VOO,ARCX,3,2025,19,2,1,2025-03-19,0.7323105460447651,1
519.32,519.52,514.0708,515.91,4585974.0,519.52,514.0708,515.91,519.32,6010598.0,1.0,0.0,VOO,ARCX,3,2025,18,1,1,2025-03-18,-0.656627898020504,0
517.45,523.8399,517.1,521.41,5870827.0,523.84,517.08,521.41,517.45,6269843.0,1.0,0.0,VOO,ARCX,3,2025,17,0,1,2025-03-17,0.7652913324958783,1
511.28,518.42,510.84,517.46,7404200.0,518.42,510.84,517.46,511.28,7412261.0,1.0,0.0,VOO,ARCX,3,2025,14,4,1,2025-03-14,1.208731028008149,1
513.51,513.98,505.42,507.05,6064162.0,514.06,505.42,507.05,513.51,21649997.0,1.0,0.0,VOO,ARCX,3,2025,13,3,1,2025-03-13,-1.25800860742731,0
